
Time = 0	Timestep = 1

U Matrix: 
0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	0.000000e+00	
3.650000e-03	2.346138e-03	1.447276e-03	7.835458e-04	3.761550e-04	1.623508e-04	6.386620e-05	2.317637e-05	7.826656e-06	2.380204e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.379268e-03	1.489593e-03	8.327611e-04	4.168587e-04	1.886741e-04	7.807099e-05	2.983993e-05	1.061018e-05	3.372373e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.388836e-03	1.519552e-03	8.691957e-04	4.482457e-04	2.100199e-04	9.023547e-05	3.587279e-05	1.327029e-05	4.363169e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.395845e-03	1.540649e-03	8.957974e-04	4.720429e-04	2.269334e-04	1.003441e-04	4.113691e-05	1.570441e-05	5.305168e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.400533e-03	1.555334e-03	9.149503e-04	4.897890e-04	2.400532e-04	1.085239e-04	4.558546e-05	1.785015e-05	6.164017e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.403542e-03	1.565402e-03	9.285202e-04	5.027855e-04	2.500109e-04	1.149713e-04	4.923061e-05	1.967588e-05	6.916807e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.405628e-03	1.572147e-03	9.379132e-04	5.120759e-04	2.573644e-04	1.198961e-04	5.211284e-05	2.116859e-05	7.548460e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.407605e-03	1.576403e-03	9.441320e-04	5.184457e-04	2.625585e-04	1.234796e-04	5.427459e-05	2.232137e-05	8.047219e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.410483e-03	1.578466e-03	9.478372e-04	5.224360e-04	2.659029e-04	1.258460e-04	5.573946e-05	2.312222e-05	8.400145e-06	0.000000e+00	0.000000e+00	
3.650000e-03	2.393941e-03	1.577811e-03	9.494563e-04	5.243685e-04	2.675635e-04	1.270452e-04	5.649759e-05	2.354527e-05	8.589332e-06	0.000000e+00	0.000000e+00	
0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00	0.000000e+00	

V Matrix: 
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	3.901372e-04	3.676982e-04	2.830633e-04	1.846327e-04	1.032253e-04	5.057867e-05	2.216910e-05	8.841975e-06	3.274930e-06	1.290592e-06	0.000000e+00	
0.000000e+00	3.025086e-04	2.833742e-04	2.234562e-04	1.505871e-04	8.781318e-05	4.512167e-05	2.079271e-05	8.726994e-06	3.406774e-06	1.425182e-06	0.000000e+00	
0.000000e+00	2.298201e-04	2.158013e-04	1.736086e-04	1.204052e-04	7.281079e-05	3.898387e-05	1.876652e-05	8.238297e-06	3.370060e-06	1.486063e-06	0.000000e+00	
0.000000e+00	1.715266e-04	1.621502e-04	1.327803e-04	9.447430e-05	5.898195e-05	3.274218e-05	1.638267e-05	7.485549e-06	3.194063e-06	1.476365e-06	0.000000e+00	
0.000000e+00	1.259464e-04	1.199284e-04	9.979250e-05	7.265278e-05	4.665993e-05	2.674470e-05	1.384991e-05	6.559619e-06	2.908154e-06	1.402575e-06	0.000000e+00	
0.000000e+00	9.086788e-05	8.669700e-05	7.320625e-05	5.442027e-05	3.583949e-05	2.113246e-05	1.128288e-05	5.518429e-06	2.533013e-06	1.269707e-06	0.000000e+00	
0.000000e+00	6.390360e-05	5.994812e-05	5.143615e-05	3.899860e-05	2.625897e-05	1.587066e-05	8.703666e-06	4.380152e-06	2.074588e-06	1.077070e-06	0.000000e+00	
0.000000e+00	4.274623e-05	3.699092e-05	3.286527e-05	2.545486e-05	1.747421e-05	1.078549e-05	6.052652e-06	3.122909e-06	1.521215e-06	8.153631e-07	0.000000e+00	
0.000000e+00	2.545820e-05	1.472008e-05	1.602922e-05	1.279092e-05	8.925933e-06	5.604626e-06	3.206321e-06	1.690071e-06	8.439679e-07	4.655932e-07	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	

P Matrix: 
1.333469e-02	1.333469e-02	2.548731e-02	1.244288e-02	5.262015e-03	2.018950e-03	7.114692e-04	2.327919e-04	7.138388e-05	2.072124e-05	6.264524e-06	6.264524e-06	
1.333469e-02	1.584464e-02	2.779603e-02	1.420471e-02	6.369253e-03	2.607703e-03	9.841941e-04	3.455321e-04	1.137684e-04	3.550178e-05	1.169974e-05	6.264524e-06	
1.525378e-02	1.779532e-02	2.963452e-02	1.562003e-02	7.292416e-03	3.123829e-03	1.237088e-03	4.563776e-04	1.579782e-04	5.187643e-05	1.815270e-05	1.027857e-05	
1.672020e-02	1.930786e-02	3.105140e-02	1.673731e-02	8.045352e-03	3.562895e-03	1.462696e-03	5.603411e-04	2.016132e-04	6.891030e-05	2.527861e-05	1.486237e-05	
